ID;interval1_counted;interval2_counted;interval3_counted;interval4_counted;interval5_counted;interval1_confidence;interval2_confidence;interval3_confidence;interval4_confidence;interval5_confidence;interval1_measured;interval2_measured;interval3_measured;interval4_measured;interval5_measured;concentration_level
01;;;;;;;;;;;;;;;;
02;25;42;14;52;31;4;3;3;3;3;27;50;19;61;44;5
03;15;28;10;36;21;2;2;2;1;2;34;63;21;81;50;6
04;26;51;17;56;41;4;5;5;3;4;31;58;20;77;49;5
05;22;45;17;52;42;3;3;3;4;5;32;60;20;73;45;7
06;23;42;14;55;31;2;2;3;2;2;24;67;16;64;41;4
07;20;31;9;33;20;4;3;4;3;3;27;52;17;65;40;6
08;21;38;12;44;30;3;3;3;5;4;28;49;17;63;40;7
09;11;28;13;29;21;3;2;3;1;3;30;56;19;71;46;6
10;24;46;14;47;32;3;4;3;2;5;25;46;15;57;37;6
11;15;45;14;64;35;2;5;5;3;4;24;45;15;57;35;7
12;23;30;7;31;23;3;2;3;2;3;29;48;17;66;39;5
13;17;29;8;36;18;2;2;2;2;2;41;72;23;90;58;7
14;14;25;9;30;21;2;2;2;2;2;26;45;14;55;35;7
15;21;38;12;42;26;5;5;5;4;4;28;51;16;60;39;6
16;25;43;14;51;32;3;3;3;3;3;29;55;18;66;43;7
17;20;34;11;34;23;3;1;2;2;2;25;46;15;54;35;7
18;22;33;12;38;27;2;3;3;3;2;30;55;19;69;45;5
19;21;41;13;45;26;2;2;2;3;2;30;52;17;62;40;7
20;22;31;12;50;25;4;2;1;2;3;25;44;15;55;35;3
21;20;40;15;50;32;5;3;2;3;2;22;41;14;50;33;1
22;17;44;15;53;32;2;3;3;2;2;38;72;23;88;60;6
23;20;42;10;49;27;3;2;3;2;3;26;48;16;57;37;6
24;18;35;14;43;25;4;5;5;5;5;24;43;14;52;33;5
25;20;36;12;35;27;2;2;2;2;2;24;48;14;60;38;6
26;22;34;6;35;14;2;1;4;4;3;24;43;14;57;36;6
27;31;51;22;75;51;3;4;6;3;3;37;70;21;88;57;4
28;;;;;;;;;;;;;;;;
29;21;47;16;58;38;5;6;4;4;5;27;48;17;60;38;6
30;24;33;12;50;29;3;3;2;2;2;30;56;19;73;46;6
31;21;30;10;25;15;2;3;2;2;4;28;53;18;64;42;6
32;22;38;11;40;27;5;3;5;5;7;24;41;14;53;33;6
33;21;44;14;56;37;2;2;2;2;2;32;57;18;73;44;7
34;22;41;15;49;26;3;2;5;1;3;23;43;14;53;33;7
